"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","OUT"
0.178933842,0.04882796,0.992182964,0.123571694,0.186605497,0.093760803,0.951380221,0.979407998,0.992672319,0.875452766
0.164043299,0.04882796,0.04941561,0.028487165,0.988069542,0.044294673,0.049858773,0.013747304,0.991270389,0.999896879
0.039761636,0.04882796,0.04941561,0.877064669,0.011930458,0.282889204,0.049858773,0.342791385,0.997237569,0.510976132
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.996670586,0.999857954
0.099890691,0.04882796,0.999819238,0.123571694,0.011930458,0.126312799,0.049858773,0.980322633,0.996468596,0.999894438
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.976617388,0.807390707
0.000457966,0.998039114,0.999819238,0.019417107,0.011930458,0.036532291,0.507360566,0.000401871,0.995744046,0.9989079
0.000457966,0.930710152,0.04941561,0.002773267,0.999364903,0.026417967,0.049858773,0.000232031,0.997237569,0.107723947
0.057604601,0.04882796,0.04941561,0.123571694,0.011930458,0.036532291,0.049858773,0.899838394,0.997237569,0.984658026
0.988910949,0.04882796,0.99732658,0.043909392,1,0.038252498,0.049858773,0.997741515,0.997237569,0.997845356
0.014514213,0.04882796,0.04941561,0.123571694,0.011930458,0.050318824,0.507360566,0.899838394,0.910231258,0.984337144
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.809800663,0.67591481
0.000457966,0.04882796,0.950535193,0.007366108,0.813394503,0.026417967,0.049858773,0.000232031,0.324005959,0.02236112
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.997237569,0.998872824
0.000457966,0.04882796,0.983507836,0.01319565,0.988069542,0.026417967,0.049858773,0.000232031,0.007072379,0.014529593
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.036532291,0.507360566,0.000256162,0.997237569,0.842839486
0.096617889,0.998039114,0.04941561,0.036697002,0.186605497,0.032803255,0.049858773,0.801663699,0.982249797,0.937447343
0.000457966,0.04882796,0.04941561,0.002773267,0.011930458,0.026417967,0.049858773,0.000232031,0.031937142,0.002999848
0.554895129,0.04882796,0.04941561,0.727790773,0.011930458,0.833483416,0.507360566,0.936195829,0,0.031676502
0.325023144,0.04882796,0.04941561,0.992676826,0.011930458,0.983113632,0.049858773,0.96470137,0.98386687,0.999855567
0.000457966,0.04882796,0.04941561,0.002773267,0.011930458,0.026417967,0.049858773,0.000232031,0.006395126,0.000694809
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.942173808,0.057041391
0.029626496,0.04882796,0.04941561,0.019417107,0.011930458,0.050318824,0.049858773,0.019287083,0.997237569,0.004831171
0.10245811,0.04882796,0.04941561,0.123571694,0.011930458,0.355355638,0.049858773,0.218674123,0.9549231,0.691185662
0.388706032,0.04882796,0.04941561,0.050186811,0.813394503,0.042899643,0.188647541,0.889705189,0.249684898,0.998936716
0.320683872,0.04882796,0.04941561,0.997242971,0.011930458,0.762129808,0.049858773,0.968029288,0.994062401,0.890593026
0.528440308,0.04882796,0.04941561,0.980694701,0.011930458,0.800185691,0.049858773,0.840469416,0.997237569,0.993089813
0.000457966,0.04882796,0.04941561,0.002773267,0.186605497,0.026417967,0.049858773,0.000232031,0,0.050748732
0.389609084,0.04882796,0.04941561,0.036697002,0.186605497,0.040667416,0.049858773,0.893310286,0.985343249,0.760942195
0.45899493,0.04882796,0.04941561,0.980694701,0.011930458,0.924335998,0.507360566,0.84161181,0.997237569,0.999854342
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.981333379,1
0.141138372,0.04882796,0.999819238,0.999611877,0.011930458,1,0.997317506,0.546965601,0,0.870461027
0.000457966,0.995145058,0.04941561,0.002773267,0.813394503,0.026417967,0.049858773,0.000232031,0.997237569,0.335637476
0.016655187,0.04882796,0.04941561,0.123571694,0.011930458,0.093760803,0.049858773,0.977279842,0.349372022,0.998338051
0.972847037,0.995145058,0.04941561,0.342900789,0.186605497,0.139142634,0.049858773,0.099949039,0.989296011,0.991576064
0.159697851,0.04882796,0.04941561,0.908219161,0.186605497,1,1,0.0380236,0.495867001,0.998451729
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.036532291,0.507360566,0.000293148,0.000134262,0.990781524
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.997237569,1
0.481224838,0.04882796,0.04941561,0.727790773,0.011930458,0.126312799,0.049858773,0.985317951,0.990136153,1
0.436476453,0.04882796,0.04941561,0.019417107,0.813394503,0.031079321,0.049858773,0.875222734,0.071559307,0
0.006750465,0.04882796,0.04941561,0.992676826,0.011930458,0.999244298,1,0.138426809,0.000102515,0.091457335
0.00645185,0.04882796,0.04941561,0.123571694,0.011930458,0.126312799,0.507360566,0.971289851,0.349372022,1
0.594810091,0.04882796,0.04941561,0.010187919,0.186605497,0.040667416,0.049858773,0.965210027,0.997237569,0.029963476
0.008153948,0.04882796,0.04941561,0.123571694,0.011930458,0.036532291,0.049858773,0.009693465,0.993571476,0.001329929
0.008135035,0.04882796,0.999819238,0.50049074,0.011930458,0.355355638,0.507360566,0.013360167,0,0.965940142
0.4066284,0.04882796,0.04941561,0.019417107,0.011930458,0.068935855,0.049858773,0.199979553,0.510450803,0.005550935
0.000457966,0.04882796,0.04941561,0.002773267,0.011930458,0.026417967,0.049858773,0.000232031,0.99628338,0.992131022
0.579071715,0.04882796,0.04941561,0.123571694,0.011930458,0.355355638,0.049858773,0.154918387,0.014187106,1
0.034820041,0.04882796,0.04941561,0.123571694,0.011930458,0.093760803,0.049858773,0.038919356,0.995125424,0.999719866
0.000457966,0.04882796,0.04941561,0.002773267,0.011930458,0.036532291,0.507360566,0.001911154,0.000353891,0.999812451
0.003818553,0.998039114,0.04941561,0.997242971,0.011930458,1,1,0.228335426,0.235356102,0.999256752
0.814629892,0.04882796,0.04941561,0.992676826,0.813394503,0.800185691,0.733200948,0.95924274,0.994400524,0.99873802
0.641554269,0.04882796,0.04941561,0.727790773,0.011930458,0.220153791,0.049858773,0.03628217,0.997237569,0.960408913
0.000868844,0.04882796,0.999819238,0.019417107,0.011930458,0.999612845,1,0.083007836,0.991092094,0.993479853
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.038759067,0.916896491
0.596287518,0.04882796,0.999819238,0.50049074,0.011930458,0.126312799,0.049858773,0.940494782,0.995207834,0.018394518
0.048317165,0.04882796,0.04941561,0.950093158,0.011930458,0.924335998,0.049858773,0.923675886,0.995465694,0.999646612
0.004142595,0.998039114,0.04941561,0.999611877,0.011930458,1,1,0.251573325,0.235356102,1
0.016875679,0.04882796,0.04941561,0.123571694,0.011930458,0.126312799,0.507360566,0.040681903,0.995125424,0.999737455
0.718516954,0.04882796,0.04941561,0.986006106,0.186605497,0.811809332,0.124006993,0.961253802,0.565533914,0.185576828
0.725846258,0.04882796,0.04941561,0.992676826,0.186605497,0.788031572,0.507360566,0.95924274,0.997237569,0.995102264
0.919411699,0.04882796,0.998807259,0.123571694,0.813394503,0.10897454,0.188647541,0.842565448,0.933123517,0.999410831
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.988354762,0.99611929
0.086972189,0.04882796,0.04941561,0.50049074,0.011930458,0.355355638,0.507360566,0.356654003,0.996814797,0.990856631
0.960875759,0.04882796,0.04941561,0.992676826,0.813394503,0.781755077,0.124006993,0.987814843,0.994400524,0.974747919
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.997237569,0.987270351
0.988451658,0.04882796,0.04941561,0.581545936,0.186605497,0.811809332,0.049858773,0.978139291,0.001821912,0.999121902
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.997237569,0.054739858
0.000457966,0.998039114,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.955703498,0.970555383
