"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","number","OUT","raw consist.","PRI consist.","SYM consist"
0,1,0,0,0,1,0,0,1,5,0,0.812131,0.573174,0.57962
1,1,1,0,1,0,1,1,0,5,0,0.828843,0.571318,0.571317
1,1,0,0,1,0,0,1,0,14,0,0.767678,0.570291,0.576704
1,0,1,1,1,1,0,0,0,3,0,0.820594,0.568182,0.568185
0,0,1,1,0,1,1,0,0,19,0,0.793373,0.567237,0.567236
0,1,0,0,1,1,1,0,0,4,0,0.831926,0.566929,0.566931
0,1,0,0,1,0,1,0,0,5,0,0.816991,0.56477,0.56477
1,1,1,1,1,1,1,1,1,7,0,0.819287,0.564502,0.564501
1,1,0,0,1,1,1,1,1,3,0,0.813928,0.55813,0.558134
0,1,1,0,1,1,1,0,0,5,0,0.821093,0.556816,0.563087
0,1,1,0,0,0,0,0,0,21,0,0.773537,0.55309,0.55325
1,1,0,0,1,0,0,1,1,41,0,0.732104,0.552166,0.559662
0,1,1,0,0,1,1,0,1,10,0,0.815171,0.551188,0.55119
1,1,1,0,1,0,1,1,1,8,0,0.801984,0.549021,0.550152
1,0,0,1,1,1,1,0,0,10,0,0.810564,0.548415,0.555939
0,1,0,1,0,1,1,0,1,25,0,0.800759,0.546571,0.558102
1,1,1,0,1,0,1,0,0,5,0,0.773712,0.544837,0.544835
1,0,1,0,1,1,0,0,0,2,0,0.813691,0.542572,0.548617
1,1,0,0,1,0,1,1,0,2,0,0.811411,0.540777,0.540777
1,1,0,0,0,0,0,0,0,3,0,0.803852,0.539696,0.539691
0,1,0,1,0,0,1,0,1,6,0,0.807596,0.539328,0.539328
0,1,0,0,0,0,0,0,0,20,0,0.754709,0.538513,0.556366
1,1,1,0,1,1,1,1,1,5,0,0.801781,0.536962,0.536959
1,1,1,0,1,0,1,0,1,12,0,0.758002,0.536239,0.538702
0,1,0,1,0,1,1,0,0,6,0,0.823271,0.536222,0.551195
1,1,1,1,1,0,1,0,1,2,0,0.793178,0.534788,0.534788
